Event,Fit,Age,Height,Weight,Country,Previously Placed
Basketball Men's Basketball,0.8724584103512015,0.10981915553080673,0.07230129343910723,0.048216264129828525,0.7407792904257192,0.02888399647453829
Judo Men's Extra-Lightweight,0.8194444444444444,0.1631600369319721,0.052844405028399856,0.05091854400797641,0.6081962271191313,0.12488078691252029
Boxing Men's Middleweight,0.7764705882352941,0.2518908454069538,0.07740649178310159,0.011182726917299629,0.6355055345924966,0.024014401300148466
Swimming Women's 200 metres Freestyle,0.9345794392523364,0.23136645114644452,0.15130832200453423,0.08546623030576442,0.4683060135552674,0.06355298298798938
Swimming Women's 4 x 200 metres Freestyle Relay,0.8636363636363636,0.12894377841150934,0.06857681090735564,0.046522550762254075,0.6951669527083081,0.0607899072105728
Hockey Men's Hockey,0.7824817518248175,0.18741492531231527,0.09861912196581747,0.05257292667582282,0.5694236832169057,0.09196934282913866
Judo Men's Middleweight,0.8255813953488372,0.16316316526510088,0.06195340810594942,0.06442040875343197,0.6710535578835489,0.03940945999196877
Basketball Women's Basketball,0.8388278388278388,0.15347233087066137,0.0907061052141818,0.07066679708493215,0.59358462334952,0.09157014348070482
"Wrestling Men's Heavyweight, Greco-Roman",0.7543859649122807,0.26125069996092326,0.08839280546915829,0.08565439673930424,0.4994052178473545,0.06529687998325978
Archery Men's Individual,0.9371069182389937,0.26439221405856667,0.11085924709149057,0.1268753697663347,0.45812172869288165,0.03975144039072645
Swimming Women's 200 metres Backstroke,0.9,0.20256549168330992,0.12030378396954275,0.07445958481804053,0.5417013786262385,0.06096976090286839
Boxing Men's Light-Heavyweight,0.8554216867469879,0.2009548832532555,0.07169658275082566,0.027251463099039485,0.6711791400858359,0.02891793081104333
Triathlon Men's Olympic Distance,0.9242424242424242,0.23596547530728748,0.09352817979245827,0.02258113062801735,0.5573552223010462,0.0905699919711907
Football Women's Football,0.7804878048780488,0.17616934607082502,0.07364654717263155,0.040017120786175156,0.6397362962780325,0.07043068969233587
Rhythmic Gymnastics Women's Individual,0.9491525423728814,0.16480825426381643,0.09652209053977436,0.07078713448894225,0.5739402476334096,0.09394227307405728
"Athletics Women's 10,000 metres",0.9104477611940298,0.2374287835572711,0.06834165571393877,0.03600540487408269,0.4234546742401422,0.23476948161456532
Badminton Men's Singles,0.8591549295774648,0.21529684702147514,0.11327948755959177,0.03897159948238607,0.5500408261271486,0.08241123980939843
Football Men's Football,0.8659147869674185,0.15164022525362622,0.08198216040933387,0.031686530056207536,0.7060310224847811,0.028660061796051274
Rhythmic Gymnastics Women's Group,0.7717391304347826,0.1730599718951968,0.09754156578207093,0.04572901166353478,0.6480061117285085,0.035663338930688966
"Wrestling Men's Light-Heavyweight, Freestyle",0.8676470588235294,0.20715181856181003,0.11158456733094024,0.03907286729421413,0.5727464082535693,0.06944433855946644
Gymnastics Women's Individual All-Around,0.9828178694158075,0.17429615124012934,0.14712168248659274,0.06684719722731444,0.4719649460408024,0.13977002300516114
Gymnastics Women's Team All-Around,0.9067796610169492,0.08877315126957191,0.06269449325445048,0.04311413009173441,0.7575202343923855,0.04789799099185766
Gymnastics Women's Horse Vault,0.9713114754098361,0.2523652703394954,0.11998034776444595,0.08573006445899345,0.49069196044204183,0.05123235699502342
Gymnastics Women's Uneven Bars,0.9758620689655172,0.1958572034673004,0.17816404963859694,0.041465763751780724,0.540777306746197,0.04373567639612489
